NAME,ADDRESS,POSTALCODE,DESCRIPTION
Telok Blangah  CC,450 Telok Blangah Street 31,108943,Civil Defence Public Shelter (Community Club/Centre)
Ulu Pandan CC,170 Ghim Moh Road,279621,Civil Defence Public Shelter (Community Club/Centre)
Toa Payoh West CC,200 Lorong 2 Toa Payoh,319642,Civil Defence Public Shelter (Community Club/Centre)
Marine Parade CC,278 Marine Parade Road,449282,Civil Defence Public Shelter (Community Club/Centre)
Pasir Ris Elias  CC,93 Pasir Ris Drive 3,519498,Civil Defence Public Shelter (Community Club/Centre)
Tampines West  CC,10 Tampines Street 81,529014,Civil Defence Public Shelter (Community Club/Centre)
Tampines East  CC,10 Tampines Street 23,529341,Civil Defence Public Shelter (Community Club/Centre)
Punggol CC,3 Hougang Ave 6,538808,Civil Defence Public Shelter (Community Club/Centre)
Teck Ghee CC,861 Ang Mo Kio Ave 10,569734,Civil Defence Public Shelter (Community Club/Centre)
Ang Mo Kio  CC,795 Ang Mo Kio Ave 1,569976,Civil Defence Public Shelter (Community Club/Centre)
Bishan CC,51 Bishan Street 13,579799,Civil Defence Public Shelter (Community Club/Centre)
Nanyang CC,60 Jurong West Street 91,649040,Civil Defence Public Shelter (Community Club/Centre)
Jurong Green  CC,6 Jurong West Ave 1,649520,Civil Defence Public Shelter (Community Club/Centre)
Hong Kah North  CC,30 Bukit Batok Street 31,659440,Civil Defence Public Shelter (Community Club/Centre)
Bukit Batok CC,21 Bukit Batok Central,659959,Civil Defence Public Shelter (Community Club/Centre)
Zheng Hua CC,1 Segar Road,677738,Civil Defence Public Shelter (Community Club/Centre)
Bukit Panjang  CC,8 Pending Rd,678295,Civil Defence Public Shelter (Community Club/Centre)
Choa Chu Kang  CC,35 Teck Whye Ave,688892,Civil Defence Public Shelter (Community Club/Centre)
Nee Soon East  CC,1 Yishun Ave 9,768893,Civil Defence Public Shelter (Community Club/Centre)
HDB,Blk 21 Queen's Close #01-141 ,140021,Civil Defence Public Shelter (HDB)
HDB,Blk 132 Clarence Lane #01-12 ,140132,Civil Defence Public Shelter (HDB)
HDB,Blk 82 Stratmore Ave #01-148 ,141082,Civil Defence Public Shelter (HDB)
HDB,Blk 35 Jalan Rumah Tinggi #01-493,150035,Civil Defence Public Shelter (HDB)
HDB,Blk 36 Jalan Rumah Tinggi #01-447,150036,Civil Defence Public Shelter (HDB)
HDB,Blk 82 Redhill Lane #01-65 ,150082,Civil Defence Public Shelter (HDB)
HDB,Blk 125 Bukit Merah View #01-386 ,151125,Civil Defence Public Shelter (HDB)
HDB,Blk 123 Kim Tian Road #01-62 ,160123,Civil Defence Public Shelter (HDB)
HDB,Blk 40 Cambridge Road #01-115,210040,Civil Defence Public Shelter (HDB)
HDB,Blk 30A Holland Close #01-209 ,271030,Civil Defence Public Shelter (HDB)
HDB,Blk 3A Holland Close #01-55 ,272003,Civil Defence Public Shelter (HDB)
HDB,Blk 43 Toa Payoh Lor 5 #01-131 ,310043,Civil Defence Public Shelter (HDB)
HDB,Blk 50 Toa Payoh Lor 5 #01-69 ,310050,Civil Defence Public Shelter (HDB)
HDB,Blk 86 Toa Payoh Lor 2 #01-333 ,310086,Civil Defence Public Shelter (HDB)
HDB,Blk 80A Toa Payoh Lorong 4 #01-454 ,311080,Civil Defence Public Shelter (HDB)
HDB,Blk 172A Toa Payoh Lor 1 #01-1170 ,311172,Civil Defence Public Shelter (HDB)
HDB,Blk 80B Toa Payoh Lorong 4 #01-440 ,312080,Civil Defence Public Shelter (HDB)
HDB,Blk 115 Whampoa Road #01-115 ,320115,Civil Defence Public Shelter (HDB)
HDB,Blk 4C St George's Lane #01-157 ,322004,Civil Defence Public Shelter (HDB)
HDB,Blk 6 Boon Keng Road #01-52 ,330006,Civil Defence Public Shelter (HDB)
HDB,Blk 42 Circuit Road #01-531 ,370042,Civil Defence Public Shelter (HDB)
HDB,Blk 55 Pipit Road #01-04 ,370055,Civil Defence Public Shelter (HDB)
HDB,Blk 645 Jalan Tenaga #01-105 ,410645,Civil Defence Public Shelter (HDB)
HDB,Blk 651 Jalan Tenaga #01-04 ,410651,Civil Defence Public Shelter (HDB)
HDB,Blk 655 Jalan Tenaga #01-94 ,410655,Civil Defence Public Shelter (HDB)
HDB,Blk 660 Jalan Tenaga #01-134 ,410660,Civil Defence Public Shelter (HDB)
HDB,Blk 661 Jalan Damai #01-129 ,410661,Civil Defence Public Shelter (HDB)
HDB,Blk 671 Jalan Damai #01-03 ,410671,Civil Defence Public Shelter (HDB)
HDB,Blk 29A Chai Chee Ave #01-74 ,461029,Civil Defence Public Shelter (HDB)
HDB,Blk 10C Bedok South Ave 2 #01-562 ,462010,Civil Defence Public Shelter (HDB)
HDB,Blk 136 Pasir Ris Street 11 #01-233 ,510136,Civil Defence Public Shelter (HDB)
HDB,Blk 138 Pasir Ris St 11 #01-207 ,510138,Civil Defence Public Shelter (HDB)
HDB,Blk 148 Pasir Ris St 13 #01-24 ,510148,Civil Defence Public Shelter (HDB)
HDB,Blk 156 Pasir Ris St 13 #01-35 ,510156,Civil Defence Public Shelter (HDB)
HDB,Blk 185 Pasir Ris St 11 #01-60 ,510185,Civil Defence Public Shelter (HDB)
HDB,Blk 192 Pasir Ris Street 12 #01-06 ,510192,Civil Defence Public Shelter (HDB)
HDB,Blk 194 Pasir Ris Street 12 #01-76 ,510194,Civil Defence Public Shelter (HDB)
HDB,Blk 207 Pasir Ris St 21 #01-356 ,510207,Civil Defence Public Shelter (HDB)
HDB,Blk 212 Pasir Ris St 21 #01-226 ,510212,Civil Defence Public Shelter (HDB)
HDB,Blk 219/220 Pasir Ris St 21 #01-170 ,510220,Civil Defence Public Shelter (HDB)
HDB,Blk 221 Pasir Ris St 21 #01-116 ,510221,Civil Defence Public Shelter (HDB)
HDB,Blk 226 Pasir Ris St 21 #01-76 ,510226,Civil Defence Public Shelter (HDB)
HDB,Blk 230 Pasir Ris St 21 #01-44,510230,Civil Defence Public Shelter (HDB)
HDB,Blk 233 Pasir Ris Drive 4 #01-490,510233,Civil Defence Public Shelter (HDB)
HDB,Blk 247 Pasir Ris St 21 #01-145 ,510247,Civil Defence Public Shelter (HDB)
HDB,Blk 252 Pasir Ris St 21 #01-203 ,510252,Civil Defence Public Shelter (HDB)
HDB,Blk 273 Pasir Ris St 21 #01-498,510273,Civil Defence Public Shelter (HDB)
HDB,Blk 448 Pasir Ris Dr 6 #B1-150 ,510448,Civil Defence Public Shelter (HDB)
HDB,Blk 450 Pasir Ris Dr 6 #B1-164 ,510450,Civil Defence Public Shelter (HDB)
HDB,Blk 451 Pasir Ris Dr 6 #B1-186 ,510451,Civil Defence Public Shelter (HDB)
HDB,Blk 452 Pasir Ris Dr 6 #B1-232,510452,Civil Defence Public Shelter (HDB)
HDB,Blk 453 Pasir Ris Dr 6 #B1-222 ,510453,Civil Defence Public Shelter (HDB)
HDB,Blk 454 Pasir Ris Dr 6 #B1-210,510454,Civil Defence Public Shelter (HDB)
HDB,Blk 472 Pasir Ris Dr 6 #B1-458 ,510472,Civil Defence Public Shelter (HDB)
HDB,Blk 473 Pasir Ris Dr 6 #B1-498 ,510473,Civil Defence Public Shelter (HDB)
HDB,Blk 474 Pasir Ris Dr 6 #B1-568 ,510474,Civil Defence Public Shelter (HDB)
HDB,Blk 475 Pasir Ris Dr 6 #B1-544 ,510475,Civil Defence Public Shelter (HDB)
HDB,Blk 476 Pasir Ris Dr 6 #B1-538 ,510476,Civil Defence Public Shelter (HDB)
HDB,Blk 477 Pasir Ris Dr 6 #B1-520 ,510477,Civil Defence Public Shelter (HDB)
HDB,Blk 482 Pasir Ris Dr 4 #B1-395 ,510482,Civil Defence Public Shelter (HDB)
HDB,Blk 483 Pasir Ris Dr 4 #B1-477 ,510483,Civil Defence Public Shelter (HDB)
HDB,Blk 506 Pasir Ris St 52 #01-189 ,510506,Civil Defence Public Shelter (HDB)
HDB,Blk 515 Pasir Ris St 52 #01-81 ,510515,Civil Defence Public Shelter (HDB)
HDB,Blk 520 Pasir Ris St 52 #01-13 ,510520,Civil Defence Public Shelter (HDB)
HDB,Blk 560 Pasir Ris St 51 #01-235 ,510560,Civil Defence Public Shelter (HDB)
HDB,Blk 501 Pasir Ris St 52 #01-213 ,510561,Civil Defence Public Shelter (HDB)
HDB,Blk 570 Pasir Ris St 53 #01-64 ,510570,Civil Defence Public Shelter (HDB)
HDB,Blk 571 Pasir Ris St 53 #01-18 ,510571,Civil Defence Public Shelter (HDB)
HDB,Blk 585 Pasir Ris St 53 #01-43 ,510585,Civil Defence Public Shelter (HDB)
HDB,Blk 612 Elias Road #01-138 ,510612,Civil Defence Public Shelter (HDB)
HDB,Blk 614 Elias Road #01-120 ,510614,Civil Defence Public Shelter (HDB)
HDB,Blk 615 Elias Road #01-102 ,510615,Civil Defence Public Shelter (HDB)
HDB,Blk 626 Pasir Ris Dr 3 #01-302 ,510626,Civil Defence Public Shelter (HDB)
HDB,Blk 631 Pasir Ris Dr 3 #01-388 ,510631,Civil Defence Public Shelter (HDB)
HDB,Blk 634 Pasir Ris Dr 1 #01-608 ,510634,Civil Defence Public Shelter (HDB)
HDB,Blk 639 Pasir Ris Dr 1 #01-536 ,510639,Civil Defence Public Shelter (HDB)
HDB,Blk 644 Pasir Ris Dr 10 #01-20 ,510644,Civil Defence Public Shelter (HDB)
HDB,Blk 706 Pasir Ris Dr 10 #01-157 ,510706,Civil Defence Public Shelter (HDB)
HDB,Blk 716 Pasir Ris St 72 #01-09 ,510716,Civil Defence Public Shelter (HDB)
HDB,Blk 720 Pasir Ris St 72 #01-105 ,510720,Civil Defence Public Shelter (HDB)
HDB,Blk 739 Pasir Ris Dr 10 #01-11 ,510739,Civil Defence Public Shelter (HDB)
HDB,Blk 741 Pasir Ris St 71 #01-39 ,510741,Civil Defence Public Shelter (HDB)
HDB,Blk 750 Pasir Ris St 71 #01-10 ,510750,Civil Defence Public Shelter (HDB)
HDB,Blk 753 Pasir Ris St 71 #01-118,510753,Civil Defence Public Shelter (HDB)
HDB,Blk 760 Pasir Ris St 71 #01-202 ,510760,Civil Defence Public Shelter (HDB)
HDB,Blk 766 Pasir Ris St 71 #01-308 ,510766,Civil Defence Public Shelter (HDB)
HDB,Blk 775 Pasir Ris St 71 #01-402 ,510775,Civil Defence Public Shelter (HDB)
HDB,Blk 776 Pasir Ris St 71 #01-412 ,510776,Civil Defence Public Shelter (HDB)
HDB,Blk 243 Simei Street 5 #01-16 ,520243,Civil Defence Public Shelter (HDB)
HDB,Blk 256 Simei St 1 #01-517 ,520256,Civil Defence Public Shelter (HDB)
HDB,Blk 302 Tampines St 32 #01-36 ,520302,Civil Defence Public Shelter (HDB)
HDB,Blk 313 Tampines St 33 #01-26 ,520313,Civil Defence Public Shelter (HDB)
HDB,Blk 316 Tampines St 33 #01-180 ,520316,Civil Defence Public Shelter (HDB)
HDB,Blk 328 Tampines St 32 #01-362 ,520328,Civil Defence Public Shelter (HDB)
HDB,Blk 333 Tampines St 32 #01-536 ,520333,Civil Defence Public Shelter (HDB)
HDB,Blk 338 Tampines St 33 #01-204 ,520338,Civil Defence Public Shelter (HDB)
HDB,Blk 343 Tampines St 33 #01-318 ,520343,Civil Defence Public Shelter (HDB)
HDB,Blk 345 Tampines St 33 #01-350,520345,Civil Defence Public Shelter (HDB)
HDB,Blk 349 Tampines St 33 #01-434 ,520349,Civil Defence Public Shelter (HDB)
HDB,Blk 354 Tampines St 33 #01-530 ,520354,Civil Defence Public Shelter (HDB)
HDB,Blk 357 Tampines St 33 #01-610 ,520357,Civil Defence Public Shelter (HDB)
HDB,Blk 361 Tampines St 34 #01-401,520361,Civil Defence Public Shelter (HDB)
HDB,Blk 364 Tampines St 34 #01-133,520364,Civil Defence Public Shelter (HDB)
HDB,Blk 367 Tampines St 34 #01-77 ,520367,Civil Defence Public Shelter (HDB)
HDB,Blk 374 Tampines St 34 #01-42 ,520374,Civil Defence Public Shelter (HDB)
HDB,Blk 387 Tampines St 32 #01-87 ,520387,Civil Defence Public Shelter (HDB)
HDB,Blk 393 Tampines Ave 7 #01-251 ,520393,Civil Defence Public Shelter (HDB)
HDB,Blk 487A Tampines Ave 9 #B1-96 ,520487,Civil Defence Public Shelter (HDB)
HDB,Blk 492B Tampines Ave 9 #01-422 ,520492,Civil Defence Public Shelter (HDB)
HDB,Blk 493D/493E Tampines St 43 #01-326 ,520493,Civil Defence Public Shelter (HDB)
HDB,Blk 494B Tampines Ave 9 #01-458 ,520494,Civil Defence Public Shelter (HDB)
HDB,Blk 496G Tampines Ave 9 #01-500 ,520496,Civil Defence Public Shelter (HDB)
HDB,Blk 498A Tampines St 45 #01-360 ,520498,Civil Defence Public Shelter (HDB)
HDB,Blk 702 Tampines St 71 #01-14 ,520702,Civil Defence Public Shelter (HDB)
HDB,Blk 703 Tampines St 71 #01-34 ,520703,Civil Defence Public Shelter (HDB)
HDB,Blk 708 Tampines St 71 #01-102 ,520708,Civil Defence Public Shelter (HDB)
HDB,Blk 710 Tampines St 71 #01-134 ,520710,Civil Defence Public Shelter (HDB)
HDB,Blk 717 Tampines St 72 #01-75 ,520717,Civil Defence Public Shelter (HDB)
HDB,Blk 719 Tampines St 72 #01-37 ,520719,Civil Defence Public Shelter (HDB)
HDB,Blk 730 Tampines St 71 #01-61 ,520730,Civil Defence Public Shelter (HDB)
HDB,Blk 735 Tampines St 72 #01-04 ,520735,Civil Defence Public Shelter (HDB)
HDB,Blk 741 Tampines St 72 #01-74 ,520741,Civil Defence Public Shelter (HDB)
HDB,Blk 891 Tampines Ave 8 #01-82 ,520891,Civil Defence Public Shelter (HDB)
HDB,Blk 450A Tampines St 42 #01-356 ,521450,Civil Defence Public Shelter (HDB)
HDB,Blk 487B Tampines St 45 #B1-123 ,521487,Civil Defence Public Shelter (HDB)
HDB,Blk 488B Tampines St 45 #B1-147 ,521488,Civil Defence Public Shelter (HDB)
HDB,Blk 842G Tampines St 82 #01-96 ,521842,Civil Defence Public Shelter (HDB)
HDB,Blk 487C Tampines St 44 #B1-103 ,522487,Civil Defence Public Shelter (HDB)
HDB,Blk 497C Tampines St 45 #01-54 ,522497,Civil Defence Public Shelter (HDB)
HDB,Blk 491D/491E Tampines St 45 #01-224 ,523491,Civil Defence Public Shelter (HDB)
HDB,Blk 842C Tampines St 82 #01-46 ,523842,Civil Defence Public Shelter (HDB)
HDB,Blk 230B Tampines St 24 #01-21 ,525230,Civil Defence Public Shelter (HDB)
HDB,Blk 856E/856F Tampines St 82 #01-208 ,525856,Civil Defence Public Shelter (HDB)
HDB,Blk 497H Tampines St 45 #01-92 ,526497,Civil Defence Public Shelter (HDB)
HDB,Blk 450G Tampines St 42 #01-382 ,527450,Civil Defence Public Shelter (HDB)
HDB,Blk 498M Tampines St 45 #01-498 ,529498,Civil Defence Public Shelter (HDB)
HDB,Blk 159 Hougang Street 11 #01-17 ,530159,Civil Defence Public Shelter (HDB)
HDB,Blk 165 Hougang Ave 1 #01-1598 ,530165,Civil Defence Public Shelter (HDB)
HDB,Blk 221 Hougang St 21 #B1-100 ,530221,Civil Defence Public Shelter (HDB)
HDB,Blk 221 Hougang St 21 #B1-68 ,530221,Civil Defence Public Shelter (HDB)
HDB,Blk 222 Hougang St 21 #B1-134,530222,Civil Defence Public Shelter (HDB)
HDB,Blk 422 Hougang Ave 6 #B1-122 ,530422,Civil Defence Public Shelter (HDB)
HDB,Blk 423 Hougang Ave 6 #B1-102 ,530423,Civil Defence Public Shelter (HDB)
HDB,Blk 424 Hougang Ave 6 #B1-74 ,530424,Civil Defence Public Shelter (HDB)
HDB,Blk 425 Hougang Ave 6 #B1-62 ,530425,Civil Defence Public Shelter (HDB)
HDB,Blk 426 Hougang Ave 6 #B1-46 ,530426,Civil Defence Public Shelter (HDB)
HDB,Blk 428 Hougang Ave 6 #B1-12 ,530428,Civil Defence Public Shelter (HDB)
HDB,Blk 435 Hougang Ave 8 #B1-1679 ,530435,Civil Defence Public Shelter (HDB)
HDB,Blk 436 Hougang Ave 8 #B1-1505 ,530436,Civil Defence Public Shelter (HDB)
HDB,Blk 437 Hougang Ave 8 #B1-1521 ,530437,Civil Defence Public Shelter (HDB)
HDB,Blk 439 Hougang Ave 8 #B1-1555 ,530439,Civil Defence Public Shelter (HDB)
HDB,Blk 440 Hougang Ave 8 #B1-1567 ,530440,Civil Defence Public Shelter (HDB)
HDB,Blk 444 Hougang Ave 8 #B1-1591 ,530444,Civil Defence Public Shelter (HDB)
HDB,Blk 444 Hougang Ave 8 #B1-1599 ,530444,Civil Defence Public Shelter (HDB)
HDB,Blk 445 Hougang Ave 8 #B1-1615 ,530445,Civil Defence Public Shelter (HDB)
HDB,Blk 446 Hougang Ave 8 #B1-1635 ,530446,Civil Defence Public Shelter (HDB)
HDB,Blk 447 Hougang Ave 10 #B1-517 ,530447,Civil Defence Public Shelter (HDB)
HDB,Blk 448 Hougang Ave 10 #B1-529 ,530448,Civil Defence Public Shelter (HDB)
HDB,Blk 449 Hougang Ave 10 #B1-509,530449,Civil Defence Public Shelter (HDB)
HDB,Blk 450 Hougang Ave 10 #B1-541 ,530450,Civil Defence Public Shelter (HDB)
HDB,Blk 451 Hougang Ave 10 #B1-553 ,530451,Civil Defence Public Shelter (HDB)
HDB,Blk 452 Hougang Ave 10 #B1-565,530452,Civil Defence Public Shelter (HDB)
HDB,Blk 453 Hougang Ave 10 #B1-583 ,530453,Civil Defence Public Shelter (HDB)
HDB,Blk 468 Hougang Ave 8 #01-1510 ,530468,Civil Defence Public Shelter (HDB)
HDB,Blk 534 Hougang St 52 #B1-32,530534,Civil Defence Public Shelter (HDB)
HDB,Blk 535 Hougang Street 52 #B1-14 ,530535,Civil Defence Public Shelter (HDB)
HDB,Blk 536 Hougang St 52 #B1-106 ,530536,Civil Defence Public Shelter (HDB)
HDB,Blk 537 Hougang St 52 #B1-94 ,530537,Civil Defence Public Shelter (HDB)
HDB,Blk 538 Hougang Street 52 #B1-84 ,530538,Civil Defence Public Shelter (HDB)
HDB,Blk 539 Hougang St 52 #B1-48 ,530539,Civil Defence Public Shelter (HDB)
HDB,Blk 540 Hougang Ave 8 #B1-1235 ,530540,Civil Defence Public Shelter (HDB)
HDB,Blk 541 Hougang Ave 8 #B1-1215 ,530541,Civil Defence Public Shelter (HDB)
HDB,Blk 552 Hougang St 51 #B1-214 ,530552,Civil Defence Public Shelter (HDB)
HDB,"Blk 553 Hougang St 51 #B1-270, ",530553,Civil Defence Public Shelter (HDB)
HDB,Blk 570 Hougang St 51 #01-105 ,530570,Civil Defence Public Shelter (HDB)
HDB,Blk 573 Hougang St 51 #01-21 ,530573,Civil Defence Public Shelter (HDB)
HDB,Blk 580 Hougang Ave 4  #01-620 ,530580,Civil Defence Public Shelter (HDB)
HDB,Blk 836 Hougang Central #01-539 ,530836,Civil Defence Public Shelter (HDB)
HDB,Blk 837 Hougang Central #01-527 ,530837,Civil Defence Public Shelter (HDB)
HDB,Blk 911 Hougang St 91 #01-58 ,530911,Civil Defence Public Shelter (HDB)
HDB,Blk 915 Hougang St 91 #01-10 ,530915,Civil Defence Public Shelter (HDB)
HDB,Blk 916 Hougang Ave 9 #01-08 ,530916,Civil Defence Public Shelter (HDB)
HDB,Blk 919 Hougang Ave 9 #01-459 ,530919,Civil Defence Public Shelter (HDB)
HDB,Blk 925 Hougang Ave 9 #01-41 ,530925,Civil Defence Public Shelter (HDB)
HDB,Blk 927 Hougang Ave 9 #01-69 ,530927,Civil Defence Public Shelter (HDB)
HDB,Blk 509 Serangoon North Ave 4 #01-360 ,550509,Civil Defence Public Shelter (HDB)
HDB,Blk 512 Serangoon North Ave 4 #01-416,550512,Civil Defence Public Shelter (HDB)
HDB,Blk 517 Serangoon North Ave 4 #B1-228 ,550517,Civil Defence Public Shelter (HDB)
